item_id,nsn,nomenclature,category,qty_on_hand,qty_required,shortage,unit_of_issue,condition_code,serial_number,sensitivity_class,location_id,responsible_marine,last_inventoried_date,last_inventoried_iso,last_lateral_transfer_date,days_since_inventory,days_since_lateral_transfer,inventory_overdue,nmc_impacting
ITM-001415,6505-54-099-5565,"Israeli Bandage 6""",Class VIII — Medical,57,56,0,EA,A,,SENSITIVE,MED-CAGE,"Cpl Iwamoto, K.",2026-02-15,2026-02-15T17:00:00+00:00,2026-04-26,70,1,True,False
ITM-001416,8415-89-336-4968,"Cold Weather Parka, Med",Class II — Clothing & Individual Equip,24,22,0,EA,A,,ROUTINE,WHSE-B2,"SSgt Reyes, J.",2026-04-21,2026-04-21T04:00:00+00:00,2026-04-16,6,10,False,False
ITM-001417,5945-48-997-7555,"MTVR Air Filter, Element",Class IX — Repair Parts,15,16,1,EA,F,,HAZMAT,VBAY-03,"MSgt Quinones, V.",2026-03-22,2026-03-22T19:00:00+00:00,2026-04-22,35,4,True,True
ITM-001418,5660-47-761-2260,"Sandbag, Empty, Bundle",Class IV — Construction,144,144,0,BD,F,,SENSITIVE,WHSE-B2,"Cpl Kowalski, P.",2026-04-06,2026-04-06T10:00:00+00:00,2026-03-12,21,46,False,False
ITM-001419,8470-68-221-9720,Civil Affairs Handout Kit,Class X — Non-Mil Programs,70,72,2,KT,A,,ROUTINE,WHSE-B2,"GySgt Yelovich, M.",2025-12-15,2025-12-15T17:00:00+00:00,,132,9999,True,False
ITM-001420,8465-21-886-4726,"Pack, USMC ILBE, OD",Class II — Clothing & Individual Equip,36,35,0,EA,B,,ROUTINE,WHSE-B2,"Cpl Marin, L.",2026-03-13,2026-03-13T13:00:00+00:00,2026-04-15,44,12,False,False
ITM-001421,5510-11-162-0273,"Lumber 2x4x8, Bundle",Class IV — Construction,131,129,0,BD,A,,ROUTINE,WHSE-B2,"Cpl Marin, L.",2026-04-23,2026-04-23T10:00:00+00:00,2026-04-17,4,10,False,False
ITM-001422,6510-98-316-9660,"Decompression Needle, 14ga",Class VIII — Medical,76,76,0,EA,A,,ROUTINE,MED-CAGE,"MSgt Quinones, V.",2026-04-08,2026-04-08T14:00:00+00:00,2026-01-07,18,109,False,False
ITM-001423,8910-48-159-0201,UGR-A Component Pack,Class I — Subsistence,46,46,0,CS,F,,ROUTINE,WHSE-A1,"SSgt Whitfield, T.",2026-01-14,2026-01-14T08:00:00+00:00,,103,9999,True,False
ITM-001424,6135-22-940-2828,AN/VRC-103 Mount Kit,Class IX — Repair Parts,8,8,0,EA,B,,ROUTINE,VBAY-03,"GySgt Yelovich, M.",2026-03-14,2026-03-14T08:00:00+00:00,2025-12-21,44,127,False,False
ITM-001425,2540-56-675-5350,Generator MEP-803A Voltage Regulator,Class IX — Repair Parts,8,8,0,EA,A,,ROUTINE,WHSE-A1,"Sgt Olufsen, K.",2026-02-18,2026-02-18T00:00:00+00:00,2026-04-18,68,8,True,False
ITM-001426,2320-39-059-4267,"M240B MG, Serialized",Class VII — Major End Items,1,1,0,EA,A,USMC-EYBV6J93,SENSITIVE,VBAY-02,"Sgt Olufsen, K.",2026-02-21,2026-02-21T04:00:00+00:00,2026-03-23,65,35,True,False
ITM-001427,8910-99-023-1124,"Bottled Water, Pallet",Class I — Subsistence,20,20,0,CS,B,,ROUTINE,WHSE-A1,"Cpl Kowalski, P.",2026-01-30,2026-01-30T16:00:00+00:00,,86,9999,True,False
ITM-001428,8910-21-180-3943,"MRE Case, Menu B",Class I — Subsistence,36,36,0,CS,A,,ROUTINE,ARM-102,"Cpl Diallo, S.",2026-03-26,2026-03-26T18:00:00+00:00,,31,9999,False,False
ITM-001429,5820-96-421-6171,"M27 IAR, Serialized",Class VII — Major End Items,1,1,0,EA,B,USMC-W7KZNP6S,SENSITIVE,VBAY-02,"SSgt Whitfield, T.",2026-04-25,2026-04-25T18:00:00+00:00,2026-03-12,1,46,False,False
ITM-001430,9150-42-496-0094,"MOGAS, 55-gal Drum",Class III — POL,10,10,0,DR,B,,SENSITIVE,HAZ-Y1,"Cpl Henderson, B.",2025-11-06,2025-11-06T11:00:00+00:00,,172,9999,True,False
ITM-001431,1330-38-886-1410,"M18 Smoke, Violet",Class V — Ammunition,34,34,0,BX,B,,ROUTINE,ARM-102,"SSgt Whitfield, T.",2026-03-31,2026-03-31T13:00:00+00:00,2026-03-27,26,31,False,False
ITM-001432,9140-62-779-1444,"Coolant, Antifreeze, Gal",Class III — POL,44,42,0,DR,B,,ROUTINE,ARM-102,"Sgt Alvarado, M.",2025-12-19,2025-12-19T06:00:00+00:00,2026-04-22,129,5,True,False
ITM-001433,2540-53-151-1946,"MTVR Air Filter, Element",Class IX — Repair Parts,19,19,0,EA,A,USMC-Q3T83U2F,CCI,WHSE-A2,"Cpl Diallo, S.",2026-04-26,2026-04-26T07:00:00+00:00,2026-02-13,1,73,False,False
ITM-001434,2530-58-901-1858,Generator MEP-803A Voltage Regulator,Class IX — Repair Parts,3,2,0,EA,F,,SENSITIVE,WHSE-A2,"Cpl Henderson, B.",2026-03-09,2026-03-09T01:00:00+00:00,2026-02-22,49,64,True,True
ITM-001435,2540-36-375-3425,AN/VRC-103 Mount Kit,Class IX — Repair Parts,23,24,1,EA,A,,ROUTINE,WHSE-B1,"Cpl Boudreau, A.",2026-03-25,2026-03-25T02:00:00+00:00,,33,9999,False,False
ITM-001436,9905-54-255-7311,Civil Affairs Handout Kit,Class X — Non-Mil Programs,40,38,0,KT,C,USMC-3BKD8PF8,CCI,WHSE-B2,"Sgt Pham, D.",2026-04-23,2026-04-23T20:00:00+00:00,2026-02-24,3,61,False,False
ITM-001437,2540-46-045-9956,AN/VRC-103 Mount Kit,Class IX — Repair Parts,11,11,0,EA,F,USMC-5GTPF4TY,CCI,WHSE-A1,"Cpl Marin, L.",2026-04-18,2026-04-18T21:00:00+00:00,,8,9999,False,True
ITM-001438,8465-38-663-5828,"Plate Carrier, Medium",Class II — Clothing & Individual Equip,10,10,0,EA,A,,ROUTINE,WHSE-B1,"Cpl Diallo, S.",2026-02-27,2026-02-27T12:00:00+00:00,2026-04-23,59,3,False,False
ITM-001439,8970-37-120-4382,"MRE Case, Menu A",Class I — Subsistence,180,180,0,CS,A,,ROUTINE,WHSE-A2,"Sgt Olufsen, K.",2026-04-04,2026-04-04T12:00:00+00:00,2026-04-16,23,10,False,False
ITM-001440,8420-97-904-2851,"Helmet ECH, Large",Class II — Clothing & Individual Equip,27,25,0,EA,A,,ROUTINE,WHSE-B1,"MSgt Quinones, V.",2026-04-02,2026-04-02T12:00:00+00:00,2026-01-29,25,88,False,False
ITM-001441,8415-56-314-3894,"Plate Carrier, Medium",Class II — Clothing & Individual Equip,37,37,0,EA,A,,ROUTINE,WHSE-B2,"SSgt Reyes, J.",2026-03-21,2026-03-21T16:00:00+00:00,2026-03-19,36,38,False,False
ITM-001442,8415-16-532-1117,"Glove, Combat, Black, M",Class II — Clothing & Individual Equip,113,111,0,EA,A,,SENSITIVE,WHSE-B1,"Cpl Henderson, B.",2026-04-10,2026-04-10T23:00:00+00:00,,16,9999,False,False
ITM-001443,8430-45-270-3080,"Plate Carrier, Medium",Class II — Clothing & Individual Equip,104,104,0,EA,B,,ROUTINE,WHSE-B2,"Sgt Olufsen, K.",2026-04-02,2026-04-02T22:00:00+00:00,2026-03-24,24,34,False,False
ITM-001444,8420-51-209-3365,"Boot, Combat, Size 10R",Class II — Clothing & Individual Equip,22,20,0,EA,C,,ROUTINE,WHSE-B1,"Sgt Carrillo, R.",2026-01-21,2026-01-21T00:00:00+00:00,,96,9999,True,False
ITM-001445,1305-46-955-1737,"5.56 Ball M855, 200rd Can",Class V — Ammunition,18,16,0,BX,A,,ARMS,ARM-101,"Cpl Marin, L.",2026-04-24,2026-04-24T02:00:00+00:00,2026-03-27,3,30,False,False
ITM-001446,1310-50-100-5076,"M18 Smoke, Violet",Class V — Ammunition,22,20,0,BX,F,,ARMS,ARM-102,"GySgt Yelovich, M.",2026-04-11,2026-04-11T06:00:00+00:00,2026-04-20,16,7,True,False
ITM-001447,6135-51-503-3166,AN/VRC-103 Mount Kit,Class IX — Repair Parts,6,5,0,EA,A,,ROUTINE,WHSE-A2,"SSgt Reyes, J.",2025-12-07,2025-12-07T19:00:00+00:00,,140,9999,True,False
ITM-001448,2530-20-181-7361,JLTV Brake Caliper Assy,Class IX — Repair Parts,15,16,1,EA,A,,ROUTINE,WHSE-A1,"Cpl Henderson, B.",2026-04-13,2026-04-13T11:00:00+00:00,2026-04-08,14,18,False,False
ITM-001449,5945-12-329-4953,"M240 Barrel Assy, Quick-Change",Class IX — Repair Parts,20,20,0,EA,B,,SENSITIVE,WHSE-B1,"Sgt Olufsen, K.",2026-04-16,2026-04-16T14:00:00+00:00,,10,9999,False,False
ITM-001450,1305-51-586-9734,"5.56 Ball M855, 200rd Can",Class V — Ammunition,24,26,2,BX,F,,ARMS,ARM-101,"SSgt Whitfield, T.",2026-04-21,2026-04-21T16:00:00+00:00,2026-03-28,5,30,False,False
ITM-001451,8910-13-871-0723,"Coffee, Instant, Case",Class I — Subsistence,156,158,2,CS,A,,SENSITIVE,WHSE-A1,"Cpl Boudreau, A.",2026-04-08,2026-04-08T05:00:00+00:00,,19,9999,False,False
ITM-001452,8970-58-906-5372,"MRE Case, Menu A",Class I — Subsistence,86,91,5,CS,B,,HAZMAT,WHSE-A1,"Cpl Henderson, B.",2026-04-19,2026-04-19T10:00:00+00:00,2026-04-03,8,24,False,False
ITM-001453,9140-91-188-6809,"Lubricant, GAA, Tube",Class III — POL,32,33,1,DR,A,,ROUTINE,HAZ-Y1,"Sgt Pham, D.",2026-03-13,2026-03-13T00:00:00+00:00,2026-04-26,45,0,False,False
ITM-001454,1330-42-626-1448,"5.56 Ball M855, 200rd Can",Class V — Ammunition,11,11,0,BX,A,,ROUTINE,ARM-101,"GySgt Underwood, R.",2025-12-15,2025-12-15T08:00:00+00:00,2026-01-18,133,98,True,False
ITM-001455,8910-19-220-8877,"Coffee, Instant, Case",Class I — Subsistence,75,77,2,CS,F,,SENSITIVE,WHSE-A2,"GySgt Yelovich, M.",2026-02-15,2026-02-15T20:00:00+00:00,2026-02-17,70,68,True,False
ITM-001456,2320-95-173-6358,JLTV M1278A1 Heavy Gun Carrier,Class VII — Major End Items,1,1,0,EA,B,USMC-CM7KMHLJ,SENSITIVE,VBAY-02,"MSgt Quinones, V.",2026-04-12,2026-04-12T12:00:00+00:00,2026-03-21,15,37,False,False
ITM-001457,8910-14-137-5823,UGR-A Component Pack,Class I — Subsistence,60,61,1,CS,C,,ROUTINE,WHSE-A1,"Cpl Henderson, B.",2026-03-20,2026-03-20T09:00:00+00:00,,38,9999,False,False
ITM-001458,2530-38-421-0970,"M240 Barrel Assy, Quick-Change",Class IX — Repair Parts,2,4,2,EA,A,,ROUTINE,VBAY-03,"Cpl Marin, L.",2026-04-07,2026-04-07T03:00:00+00:00,2026-04-20,20,7,False,False
ITM-001459,8530-86-796-6315,"Hygiene Kit, Field, Case",Class VI — Personal Demand,8,8,0,KT,A,,ROUTINE,WHSE-B1,"MSgt Quinones, V.",2026-04-11,2026-04-11T10:00:00+00:00,2025-11-12,16,165,False,False
ITM-001460,8915-92-060-2089,UGR-A Component Pack,Class I — Subsistence,67,68,1,CS,B,,ROUTINE,ARM-101,"Cpl Iwamoto, K.",2025-05-23,2025-05-23T17:00:00+00:00,2026-03-11,338,47,True,False
ITM-001461,5660-60-871-8500,"Concertina Wire, Roll",Class IV — Construction,37,42,5,BD,A,,ROUTINE,WHSE-B2,"Sgt Pham, D.",2026-04-12,2026-04-12T22:00:00+00:00,2026-04-15,14,11,False,False
ITM-001462,5855-48-937-0811,AN/PRC-117G Manpack Radio,Class VII — Major End Items,1,0,0,EA,B,USMC-K5SKSGD2,SENSITIVE,VBAY-02,"SSgt Reyes, J.",2026-03-08,2026-03-08T02:00:00+00:00,2026-02-19,50,67,True,False
ITM-001463,8420-89-589-1626,"Plate Carrier, Medium",Class II — Clothing & Individual Equip,188,188,0,EA,B,,ROUTINE,WHSE-B2,"SSgt Reyes, J.",2026-04-19,2026-04-19T06:00:00+00:00,,8,9999,False,False
ITM-001464,2540-47-945-3617,"M240 Barrel Assy, Quick-Change",Class IX — Repair Parts,6,6,0,EA,A,,ARMS,WHSE-B1,"Sgt Pham, D.",2026-04-21,2026-04-21T17:00:00+00:00,2026-04-20,5,7,False,False
ITM-001465,5945-76-904-1362,"M240 Barrel Assy, Quick-Change",Class IX — Repair Parts,9,8,0,EA,A,,ROUTINE,VBAY-03,"Cpl Marin, L.",2025-11-28,2025-11-28T05:00:00+00:00,2026-03-18,150,39,True,False
ITM-001466,8970-45-407-1528,"Coffee, Instant, Case",Class I — Subsistence,39,39,0,CS,F,,SENSITIVE,WHSE-A2,"Sgt Olufsen, K.",2026-04-03,2026-04-03T11:00:00+00:00,,24,9999,False,False
ITM-001467,6135-17-482-7757,"M240 Barrel Assy, Quick-Change",Class IX — Repair Parts,16,18,2,EA,A,,ROUTINE,VBAY-01,"GySgt Yelovich, M.",2026-02-13,2026-02-13T04:00:00+00:00,,73,9999,True,False
ITM-001468,1330-56-905-5923,"9mm Ball M1152, 50rd Box",Class V — Ammunition,42,43,1,BX,A,,ARMS,ARM-101,"SSgt Reyes, J.",2026-04-24,2026-04-24T21:00:00+00:00,2026-04-18,2,9,False,False
ITM-001469,8430-69-064-6831,"Boot, Combat, Size 10R",Class II — Clothing & Individual Equip,164,164,0,EA,F,,ROUTINE,MED-CAGE,"Sgt Alvarado, M.",2026-04-14,2026-04-14T22:00:00+00:00,2026-02-02,12,83,False,False
ITM-001470,8420-37-312-5045,"Pack, USMC ILBE, OD",Class II — Clothing & Individual Equip,54,53,0,EA,A,,ARMS,WHSE-B1,"Sgt Pham, D.",2026-04-22,2026-04-22T00:00:00+00:00,2026-03-16,5,42,False,False
ITM-001471,6135-67-264-6901,M-ATV Hub Assembly,Class IX — Repair Parts,2,0,0,EA,A,,ROUTINE,ARM-101,"Cpl Henderson, B.",2026-04-27,2026-04-27T06:00:00+00:00,2026-03-29,0,29,False,False
ITM-001472,8465-89-785-6533,"Shemagh, Tan",Class II — Clothing & Individual Equip,60,62,2,EA,F,,ROUTINE,WHSE-B1,"Sgt Olufsen, K.",2026-04-15,2026-04-15T06:00:00+00:00,,12,9999,False,False
ITM-001473,2530-44-664-7109,"MTVR Air Filter, Element",Class IX — Repair Parts,2,7,5,EA,F,,ROUTINE,WHSE-B1,"GySgt Yelovich, M.",2026-03-30,2026-03-30T21:00:00+00:00,2026-04-04,27,23,False,True
ITM-001474,6515-28-303-8735,"Naloxone HCl, 4mg Nasal",Class VIII — Medical,34,36,2,EA,C,,ROUTINE,MED-CAGE,"Cpl Henderson, B.",2025-11-29,2025-11-29T17:00:00+00:00,2026-04-11,148,15,True,False
ITM-001475,8915-07-518-7068,UGR-A Component Pack,Class I — Subsistence,189,191,2,CS,A,,ROUTINE,WHSE-A2,"Sgt Alvarado, M.",2026-04-18,2026-04-18T19:00:00+00:00,2026-04-17,8,9,False,False
ITM-001476,2530-98-809-5668,AN/VRC-103 Mount Kit,Class IX — Repair Parts,8,13,5,EA,B,,ROUTINE,VBAY-03,"GySgt Underwood, R.",2025-08-10,2025-08-10T19:00:00+00:00,2025-12-10,259,137,True,False
ITM-001477,1005-29-231-0862,JLTV M1278A1 Heavy Gun Carrier,Class VII — Major End Items,1,0,0,EA,A,USMC-G2K36WBN,SENSITIVE,VBAY-01,"SSgt Reyes, J.",2026-04-04,2026-04-04T00:00:00+00:00,2026-03-06,23,52,False,False
ITM-001478,2530-98-847-6680,"MTVR Air Filter, Element",Class IX — Repair Parts,9,9,0,EA,A,,ROUTINE,WHSE-A2,"SSgt Reyes, J.",2026-04-23,2026-04-23T05:00:00+00:00,,4,9999,False,False
ITM-001479,9140-83-838-2407,"Coolant, Antifreeze, Gal",Class III — POL,40,40,0,DR,A,,HAZMAT,HAZ-Y1,"Sgt Alvarado, M.",2026-04-15,2026-04-15T16:00:00+00:00,,11,9999,False,False
ITM-001480,5660-36-634-1122,"Plywood 4x8, Sheet",Class IV — Construction,187,185,0,BD,C,,ROUTINE,WHSE-B2,"SSgt Reyes, J.",2026-04-14,2026-04-14T10:00:00+00:00,,13,9999,False,False
ITM-001481,2920-47-394-1957,AN/VRC-103 Mount Kit,Class IX — Repair Parts,7,6,0,EA,F,,SENSITIVE,WHSE-A1,"Cpl Henderson, B.",2026-04-13,2026-04-13T11:00:00+00:00,2026-02-16,14,69,False,True
ITM-001482,1330-11-773-3291,"7.62 Linked M80A1, 100rd",Class V — Ammunition,48,48,0,BX,C,,ARMS,WHSE-A1,"Cpl Kowalski, P.",2026-04-19,2026-04-19T00:00:00+00:00,,8,9999,False,False
ITM-001483,2540-46-365-3847,"Tire, MTVR, 16R20",Class IX — Repair Parts,21,23,2,EA,B,,ROUTINE,WHSE-A2,"Cpl Iwamoto, K.",2026-03-23,2026-03-23T19:00:00+00:00,2026-03-07,34,50,False,False
ITM-001484,8430-78-045-2741,"Pack, USMC ILBE, OD",Class II — Clothing & Individual Equip,112,110,0,EA,A,,ROUTINE,WHSE-B2,"Sgt Pham, D.",2026-02-23,2026-02-23T01:00:00+00:00,2025-11-14,63,164,True,False
ITM-001485,8420-27-384-1515,"Pack, USMC ILBE, OD",Class II — Clothing & Individual Equip,141,139,0,EA,C,,ROUTINE,ARM-101,"Sgt Carrillo, R.",2026-03-12,2026-03-12T20:00:00+00:00,2025-12-19,45,129,False,False
ITM-001486,8415-17-764-7916,"Plate Carrier, Medium",Class II — Clothing & Individual Equip,20,20,0,EA,A,,ROUTINE,WHSE-B1,"Cpl Boudreau, A.",2026-03-17,2026-03-17T12:00:00+00:00,2026-03-07,41,51,False,False
ITM-001487,5945-68-419-9880,AN/VRC-103 Mount Kit,Class IX — Repair Parts,5,6,1,EA,B,USMC-NV3LXHU6,CCI,VBAY-03,"Cpl Kowalski, P.",2026-03-31,2026-03-31T12:00:00+00:00,,27,9999,True,False
ITM-001488,8915-71-835-1127,"MRE Case, Menu B",Class I — Subsistence,35,35,0,CS,B,,SENSITIVE,WHSE-A1,"Sgt Alvarado, M.",2026-04-19,2026-04-19T05:00:00+00:00,2026-03-05,8,53,False,False
ITM-001489,8465-03-238-8232,"Glove, Combat, Black, M",Class II — Clothing & Individual Equip,115,115,0,EA,B,,SENSITIVE,WHSE-B2,"GySgt Underwood, R.",2026-03-08,2026-03-08T08:00:00+00:00,,50,9999,True,False
ITM-001490,2920-91-135-9187,"M240 Barrel Assy, Quick-Change",Class IX — Repair Parts,11,9,0,EA,B,,ROUTINE,WHSE-A1,"Cpl Henderson, B.",2026-04-23,2026-04-23T09:00:00+00:00,,4,9999,False,False
ITM-001491,1330-69-759-2670,"7.62 Linked M80A1, 100rd",Class V — Ammunition,20,25,5,BX,A,,ARMS,ARM-101,"Sgt Carrillo, R.",2026-04-17,2026-04-17T19:00:00+00:00,,9,9999,False,False
ITM-001492,9140-47-559-1511,"Coolant, Antifreeze, Gal",Class III — POL,37,37,0,DR,B,,HAZMAT,HAZ-Y1,"Cpl Henderson, B.",2026-03-06,2026-03-06T19:00:00+00:00,2026-01-19,51,97,True,False
ITM-001493,1330-83-865-7718,"M67 Frag, 4-grenade Pack",Class V — Ammunition,22,22,0,BX,B,,ARMS,VBAY-02,"Cpl Boudreau, A.",2026-04-18,2026-04-18T23:00:00+00:00,2026-04-27,8,0,False,False
ITM-001494,1005-19-731-0941,AN/PRC-117G Manpack Radio,Class VII — Major End Items,1,1,0,EA,A,USMC-ZBEH82A7,SENSITIVE,VBAY-02,"GySgt Yelovich, M.",2026-04-19,2026-04-19T06:00:00+00:00,2026-02-14,8,72,False,False
ITM-001495,6505-81-313-1192,"Decompression Needle, 14ga",Class VIII — Medical,46,46,0,EA,C,,ROUTINE,VBAY-01,"Sgt Alvarado, M.",2026-04-10,2026-04-10T12:00:00+00:00,2026-04-07,17,20,False,False
ITM-001496,6545-00-456-4835,"TXA, 1g IV, Vial",Class VIII — Medical,30,29,0,EA,A,,ROUTINE,MED-CAGE,"Cpl Henderson, B.",2025-06-01,2025-06-01T07:00:00+00:00,2026-02-27,330,59,True,False
ITM-001497,5945-06-288-6083,JLTV Brake Caliper Assy,Class IX — Repair Parts,23,24,1,EA,A,,SENSITIVE,VBAY-03,"SSgt Whitfield, T.",2026-04-15,2026-04-15T23:00:00+00:00,2026-03-29,11,29,False,False
ITM-001498,8465-02-655-8131,"Helmet ECH, Large",Class II — Clothing & Individual Equip,41,43,2,EA,F,,ARMS,WHSE-B1,"Sgt Carrillo, R.",2026-04-24,2026-04-24T08:00:00+00:00,,3,9999,False,False
ITM-001499,6545-05-797-5997,"Israeli Bandage 6""",Class VIII — Medical,86,84,0,EA,F,,ARMS,MED-CAGE,"Sgt Carrillo, R.",2026-03-08,2026-03-08T02:00:00+00:00,2026-04-05,50,22,True,False
ITM-001500,8910-65-420-8924,"MRE Case, Menu A",Class I — Subsistence,31,29,0,CS,A,,ROUTINE,WHSE-A1,"GySgt Yelovich, M.",2026-04-15,2026-04-15T22:00:00+00:00,,11,9999,False,False
ITM-001501,5945-38-975-0012,"MTVR Air Filter, Element",Class IX — Repair Parts,19,19,0,EA,A,,ROUTINE,WHSE-A2,"Cpl Marin, L.",2026-02-03,2026-02-03T07:00:00+00:00,,83,9999,True,False
ITM-001502,2540-69-765-3659,"MTVR Air Filter, Element",Class IX — Repair Parts,10,10,0,EA,F,,ROUTINE,WHSE-B1,"Sgt Alvarado, M.",2026-03-28,2026-03-28T03:00:00+00:00,2026-04-14,30,13,False,True
ITM-001503,8430-96-353-3313,"Plate Carrier, Medium",Class II — Clothing & Individual Equip,119,119,0,EA,A,,ROUTINE,WHSE-B2,"Cpl Diallo, S.",2026-02-27,2026-02-27T11:00:00+00:00,,59,9999,False,False
ITM-001504,2320-98-711-0495,AN/PEQ-15 IR Aim Light,Class VII — Major End Items,1,2,1,EA,A,USMC-D3TX6AUQ,SENSITIVE,VBAY-02,"Cpl Boudreau, A.",2026-04-24,2026-04-24T01:00:00+00:00,2026-03-30,3,27,False,False
ITM-001505,8915-35-384-9785,"Bottled Water, Pallet",Class I — Subsistence,65,70,5,CS,F,,ROUTINE,WHSE-A2,"Sgt Pham, D.",2026-04-17,2026-04-17T01:00:00+00:00,2025-11-23,10,154,False,False
ITM-001506,5945-36-195-6279,AN/VRC-103 Mount Kit,Class IX — Repair Parts,1,0,0,EA,B,,ARMS,VBAY-03,"Sgt Alvarado, M.",2026-04-20,2026-04-20T09:00:00+00:00,2026-02-24,7,62,False,False
ITM-001507,9150-69-135-3286,"Lubricant, GAA, Tube",Class III — POL,28,28,0,DR,A,,HAZMAT,HAZ-Y1,"Sgt Pham, D.",2026-04-01,2026-04-01T02:00:00+00:00,2025-11-07,26,171,True,False
ITM-001508,8970-83-117-1385,UGR-A Component Pack,Class I — Subsistence,145,145,0,CS,B,,SENSITIVE,WHSE-A2,"Cpl Henderson, B.",2026-04-13,2026-04-13T14:00:00+00:00,2026-03-25,13,33,False,False
ITM-001509,5820-21-957-7599,AN/PRC-152A Handheld,Class VII — Major End Items,1,6,5,EA,B,USMC-YTN7A3WS,SENSITIVE,WHSE-A1,"Cpl Iwamoto, K.",2026-04-06,2026-04-06T01:00:00+00:00,2025-12-16,21,132,False,False
ITM-001510,2530-12-466-9389,Generator MEP-803A Voltage Regulator,Class IX — Repair Parts,25,24,0,EA,F,,ROUTINE,WHSE-A1,"Cpl Kowalski, P.",2026-02-09,2026-02-09T06:00:00+00:00,2026-03-30,77,27,True,True
ITM-001511,8970-20-211-0881,"MRE Case, Menu A",Class I — Subsistence,162,164,2,CS,A,,ROUTINE,WHSE-A1,"Sgt Carrillo, R.",2026-02-24,2026-02-24T23:00:00+00:00,,61,9999,True,False
ITM-001512,5820-90-157-3413,"M240B MG, Serialized",Class VII — Major End Items,1,6,5,EA,B,USMC-F59V9EQ4,SENSITIVE,ARM-103,"Cpl Henderson, B.",2026-04-05,2026-04-05T05:00:00+00:00,,22,9999,False,False
ITM-001513,8430-27-837-0646,"Plate Carrier, Medium",Class II — Clothing & Individual Equip,186,186,0,EA,A,,ROUTINE,WHSE-B2,"Sgt Carrillo, R.",2026-03-23,2026-03-23T09:00:00+00:00,,35,9999,False,False
ITM-001514,6135-61-397-3101,"MTVR Air Filter, Element",Class IX — Repair Parts,7,8,1,EA,B,,ROUTINE,VBAY-03,"GySgt Yelovich, M.",2026-03-11,2026-03-11T15:00:00+00:00,,46,9999,False,False
ITM-001515,8915-96-990-4247,"Bottled Water, Pallet",Class I — Subsistence,30,30,0,CS,A,,ROUTINE,WHSE-A1,"Cpl Iwamoto, K.",2026-03-19,2026-03-19T03:00:00+00:00,,39,9999,False,False
ITM-001516,5945-36-577-6747,AN/VRC-103 Mount Kit,Class IX — Repair Parts,6,6,0,EA,F,,ROUTINE,WHSE-B1,"Cpl Marin, L.",2026-03-24,2026-03-24T07:00:00+00:00,2026-01-20,34,96,False,True
ITM-001517,8520-42-861-7672,"Hygiene Kit, Field, Case",Class VI — Personal Demand,107,107,0,KT,C,,ROUTINE,WHSE-B1,"GySgt Yelovich, M.",2026-01-04,2026-01-04T07:00:00+00:00,2026-01-30,113,86,True,False
ITM-001518,1330-45-254-3179,"7.62 Linked M80A1, 100rd",Class V — Ammunition,7,7,0,BX,A,,ROUTINE,ARM-101,"Sgt Olufsen, K.",2026-03-19,2026-03-19T23:00:00+00:00,2026-02-05,38,80,False,False
ITM-001519,6545-99-262-5580,"Naloxone HCl, 4mg Nasal",Class VIII — Medical,113,112,0,EA,A,,ROUTINE,VBAY-03,"Sgt Alvarado, M.",2026-03-18,2026-03-18T22:00:00+00:00,2026-01-18,39,99,False,False
ITM-001520,2540-36-461-4786,Generator MEP-803A Voltage Regulator,Class IX — Repair Parts,16,16,0,EA,B,,HAZMAT,WHSE-B1,"Cpl Boudreau, A.",2026-04-19,2026-04-19T17:00:00+00:00,,7,9999,False,False
ITM-001521,5820-93-238-7789,"M240B MG, Serialized",Class VII — Major End Items,1,6,5,EA,B,USMC-W8F39ZY9,ROUTINE,VBAY-02,"GySgt Underwood, R.",2026-04-08,2026-04-08T18:00:00+00:00,2026-04-08,18,19,False,False
ITM-001522,2320-18-705-6248,"AN/PVS-14 NVG, Mono",Class VII — Major End Items,1,0,0,EA,B,USMC-DH4TRDNY,ROUTINE,VBAY-02,"SSgt Reyes, J.",2026-03-04,2026-03-04T12:00:00+00:00,2026-02-21,54,64,False,False
ITM-001523,6135-03-813-8624,"M240 Barrel Assy, Quick-Change",Class IX — Repair Parts,25,25,0,EA,F,,SENSITIVE,WHSE-B1,"GySgt Yelovich, M.",2026-04-12,2026-04-12T23:00:00+00:00,2026-03-13,14,45,False,True
ITM-001524,2920-23-385-9827,"M240 Barrel Assy, Quick-Change",Class IX — Repair Parts,9,11,2,EA,A,,ROUTINE,VBAY-03,"GySgt Underwood, R.",2026-03-08,2026-03-08T01:00:00+00:00,2026-03-15,50,43,False,False
ITM-001525,8915-10-391-6053,"MRE Case, Menu A",Class I — Subsistence,156,156,0,CS,A,,SENSITIVE,WHSE-A2,"SSgt Whitfield, T.",2026-02-25,2026-02-25T01:00:00+00:00,2026-04-13,61,13,True,False
ITM-001526,8530-85-009-7836,"Hygiene Kit, Field, Case",Class VI — Personal Demand,115,120,5,KT,A,,ROUTINE,WHSE-B1,"Sgt Alvarado, M.",2026-03-29,2026-03-29T19:00:00+00:00,2026-04-26,28,0,False,False
ITM-001527,5660-01-590-9750,"Plywood 4x8, Sheet",Class IV — Construction,161,166,5,BD,A,,ROUTINE,WHSE-B2,"SSgt Reyes, J.",2025-12-09,2025-12-09T08:00:00+00:00,2026-03-31,139,27,True,False
